SN,brand_name,model,price,rating,has_5g,has_nfc,has_ir_blaster,processor_brand,num_cores,processor_speed,battery_capacity,fast_charging_available,fast_charging,ram_capacity,internal_memory,screen_size,refresh_rate,resolution,num_rear_cameras,num_front_cameras,os,primary_camera_rear,primary_camera_front,extended_memory_available,extended_upto,pixels,phone_category,camera_ratings,performance_ratings
607,samsung,Samsung Galaxy Note 10 Plus 5G,92999,89.0,True,True,True,exynos,8.0,2.7,4300.0,1,45.0,12.0,256.0,6.8,60,1440 x 3040 ,4,1.0,android,12.0,10.0,1,512.0,4377600,midrange,8.461538461538462,7.595740905057674
355,oppo,Oppo Find X6 Pro,77990,89.0,True,True,False,snapdragon,8.0,3.2,4700.0,1,120.0,12.0,256.0,6.78,120,1080 x 2400 ,3,1.0,android,50.0,32.0,0,0.0,2592000,flagship,8.812962356792145,8.039396628216503
808,xiaomi,Xiaomi 12 Ultra 5G,75999,89.0,True,True,True,snapdragon,8.0,3.2,4800.0,1,67.0,12.0,256.0,6.73,120,1440 x 3200 ,3,1.0,android,50.0,20.0,0,0.0,4608000,flagship,8.73911620294599,8.039396628216503
70,google,Google Pixel 6 Pro (12GB RAM + 256GB),79700,89.0,True,True,False,google,8.0,2.8,5003.0,1,30.0,12.0,256.0,6.71,120,1440 x 3120 ,3,1.0,android,50.0,11.1,0,0.0,4492800,flagship,9.453577741407528,7.684472049689441
746,vivo,Vivo X80 Pro Plus 5G,82990,88.0,True,True,False,snapdragon,8.0,3.2,4500.0,1,120.0,12.0,256.0,6.78,120,1440 x 3200 ,4,1.0,android,50.0,32.0,0,0.0,4608000,flagship,8.812962356792145,8.039396628216503
617,samsung,Samsung Galaxy S20 Plus 5G,85990,88.0,True,True,False,exynos,8.0,2.73,4500.0,1,25.0,8.0,128.0,6.7,60,1440 x 3200 ,4,1.0,android,64.0,10.0,1,1024.0,4608000,midrange,8.546644844517184,7.279503105590062
630,samsung,Samsung Galaxy S22 Ultra 5G,91999,88.0,True,True,False,snapdragon,8.0,3.0,5000.0,1,45.0,12.0,256.0,6.8,120,1440 x 3080 ,4,1.0,android,108.0,40.0,0,0.0,4435200,flagship,9.418657937806875,7.861934338952972
745,vivo,Vivo X80 Pro 5G,79999,88.0,True,True,False,snapdragon,8.0,3.0,4700.0,1,80.0,12.0,256.0,6.78,120,1440 x 3200 ,4,1.0,android,50.0,32.0,0,0.0,4608000,flagship,8.812962356792145,7.861934338952972
632,samsung,Samsung Galaxy S22 Ultra 5G (8GB RAM + 128GB),99990,88.0,True,True,False,snapdragon,8.0,3.0,5000.0,1,45.0,8.0,128.0,6.8,120,1440 x 3080 ,4,1.0,android,108.0,40.0,0,0.0,4435200,flagship,9.418657937806875,7.5190771960958305
640,samsung,Samsung Galaxy Z Flip 4 5G,89999,88.0,True,True,False,snapdragon,8.0,3.2,3700.0,1,25.0,8.0,128.0,6.7,120,1080 x 2640 ,2,1.0,android,12.0,10.0,0,0.0,2851200,flagship,9.076923076923077,7.696539485359361
49,asus,Asus ROG Phone 6 Pro 5G,89999,88.0,True,True,False,snapdragon,8.0,3.2,6000.0,1,65.0,18.0,512.0,6.78,165,1080 x 2448 ,3,1.0,android,50.0,12.0,0,0.0,2643840,flagship,8.689885433715222,8.553682342502219
275,oppo,OPPO Find N Flip,89990,88.0,True,True,False,dimensity,8.0,3.05,4300.0,1,44.0,8.0,128.0,6.8,120,1200 x 2400 ,2,1.0,android,50.0,32.0,0,0.0,2880000,flagship,8.812962356792145,7.563442768411713
618,samsung,Samsung Galaxy S20 Ultra 5G,99999,88.0,True,True,False,exynos,8.0,2.73,5000.0,1,45.0,12.0,128.0,6.9,60,1440 x 3200 ,4,1.0,android,108.0,40.0,1,1024.0,4608000,flagship,9.418657937806875,7.6223602484472055
51,asus,Asus ROG Phone 7,75990,87.0,True,True,False,snapdragon,8.0,3.2,6000.0,1,120.0,18.0,256.0,6.8,165,1080 x 2448 ,3,1.0,android,64.0,32.0,0,0.0,2643840,flagship,8.835875613747955,8.553682342502219
349,oppo,Oppo Find N 5G,92249,87.0,True,True,False,snapdragon,8.0,2.84,4500.0,1,33.0,8.0,256.0,7.1,120,1792 x 1920 ,3,1.0,android,50.0,32.0,0,0.0,3440640,flagship,8.812962356792145,7.3771073646850045
